影片編號,狀態,Stage6_T0,Stage6_TB,Stage6_TH,Stage6_Pointing次數,Stage6_TB次數,Stage6_TH次數,Stage7_T0,Stage7_TB,Stage7_TH,Stage7_Pointing次數,Stage7_TB次數,Stage7_TH次數,Stage8_T0,Stage8_TH,Stage8_TH次數,Stage9_T0,Stage9_TB,Stage9_TH,Stage9_Pointing次數,Stage9_TB次數,Stage9_TH次數,Stage10_T0,Stage10_TH,Stage10_TH次數
42,完成,79.69s,79.69s,88.46s,1,18,1,x,x,x,0,0,0,141.25s,x,0,313.44s,313.69s,314.36s,0,4,4,348.4s,356.15s,1
43,完成,140.69s,141.86s,147.86s,0,15,8,211.58s,214.28s,214.28s,1,29,19,369.75s,x,0,430.66s,434.9s,446.03s,0,7,4,465.48s,x,0
44,完成,x,x,x,0,0,0,x,x,x,0,0,0,134.75s,135.12s,3,236.86s,242.97s,244.04s,0,8,2,271.72s,279.56s,1
46,完成,x,x,x,0,0,0,x,x,x,0,0,0,175.75s,179.38s,3,406.54s,406.56s,408.02s,0,14,16,x,x,0
47,完成,136.09s,136.12s,143.59s,0,13,4,199.98s,207.58s,223.98s,0,7,1,226.75s,x,0,359.54s,359.7s,370.7s,2,8,3,394.52s,395.36s,2
49,完成,60.13s,60.3s,60.53s,1,12,8,88.46s,88.46s,88.9s,0,2,2,115.75s,x,0,194.9s,197.13s,197.26s,0,11,8,229.8s,229.83s,3
50,完成,230.67s,231.11s,234.2s,1,14,8,351.26s,351.26s,363.89s,2,18,12,458.15s,461.78s,1,591.54s,594.93s,597.36s,2,4,3,626.57s,x,0
51,完成,201.67s,203.37s,212.77s,2,14,2,241.07s,241.24s,246.23s,0,9,1,263.75s,269.23s,2,492.58s,492.9s,493.24s,0,11,8,527.58s,527.6s,2
52,完成,77.06s,77.26s,82.96s,1,11,7,114.09s,115.22s,122.48s,1,18,3,153.0s,153.95s,1,286.86s,286.96s,287.06s,0,6,7,321.8s,322.09s,2
53,完成,91.69s,91.79s,102.25s,0,14,5,x,x,x,0,0,0,139.5s,140.25s,3,304.96s,312.15s,331.55s,0,8,2,339.86s,340.68s,2
55,完成,x,x,x,0,0,0,x,x,x,0,0,0,157.1s,160.78s,1,228.18s,229.17s,231.73s,0,7,5,267.62s,271.46s,2
56,完成,102.55s,102.72s,102.82s,2,11,7,143.38s,146.41s,147.78s,2,7,2,166.5s,169.61s,4,248.12s,249.33s,249.83s,1,9,3,283.06s,283.86s,2
57,完成,72.53s,77.03s,77.03s,0,12,6,113.86s,126.22s,x,4,13,0,151.75s,152.48s,2,251.72s,253.94s,259.97s,0,10,2,286.68s,286.84s,3
58,完成,75.89s,76.39s,78.06s,0,11,3,114.59s,115.92s,133.85s,0,13,7,165.25s,165.28s,2,266.42s,275.1s,283.1s,0,5,3,301.3s,301.3s,4
59,完成,55.59s,56.26s,74.99s,0,10,2,92.79s,102.39s,115.79s,0,10,2,128.75s,129.25s,3,203.42s,204.38s,208.84s,1,13,5,238.34s,x,0
60,完成,59.0s,59.06s,62.0s,0,14,6,95.19s,95.26s,95.26s,1,29,7,183.35s,183.36s,3,281.08s,281.08s,281.18s,0,5,7,316.04s,316.65s,3
61,完成,66.29s,66.32s,69.19s,0,16,9,116.38s,116.38s,117.25s,0,4,6,131.0s,131.18s,4,197.24s,200.11s,201.24s,1,8,8,232.1s,232.1s,4
62,完成,66.19s,66.29s,66.29s,0,13,12,110.88s,115.05s,116.18s,2,15,5,139.5s,140.65s,1,233.08s,239.17s,240.63s,0,10,8,267.92s,269.36s,2
63,完成,61.29s,61.53s,63.33s,0,13,5,109.19s,109.19s,122.12s,0,7,1,124.75s,130.12s,1,240.24s,243.24s,248.31s,0,4,3,279.82s,284.1s,2
64,完成,71.39s,71.59s,71.66s,0,10,7,104.99s,113.66s,x,0,5,0,131.5s,x,0,213.6s,215.05s,215.38s,0,10,10,248.7s,248.71s,3
65,完成,75.99s,75.99s,77.19s,0,13,8,120.29s,120.29s,120.29s,0,12,9,157.5s,160.18s,2,292.84s,299.57s,300.1s,0,7,7,332.54s,332.76s,3
66,完成,69.69s,69.69s,69.69s,2,13,5,121.19s,121.86s,124.85s,0,8,4,137.5s,140.25s,4,280.84s,289.31s,305.04s,0,7,2,315.78s,316.04s,3
67,完成,61.79s,61.79s,61.79s,0,16,6,108.09s,109.49s,127.05s,0,12,6,144.75s,146.18s,4,220.78s,223.37s,224.5s,0,3,3,255.72s,257.23s,3
68,完成,62.29s,64.52s,72.92s,0,14,5,127.18s,x,x,0,0,0,137.9s,138.18s,5,239.36s,249.76s,256.7s,0,1,5,274.38s,275.09s,4
69,完成,65.69s,65.72s,65.72s,0,10,2,128.38s,128.38s,133.85s,1,7,8,155.75s,156.71s,4,239.18s,245.9s,247.03s,0,6,3,278.9s,278.93s,1
70,完成,76.79s,77.06s,105.72s,0,15,2,124.18s,129.92s,130.05s,0,9,3,146.0s,148.92s,5,230.16s,231.17s,231.57s,0,10,5,268.06s,268.07s,3
71,完成,65.29s,65.59s,66.93s,0,11,4,111.29s,111.32s,113.32s,0,12,3,138.25s,138.85s,4,235.5s,240.45s,240.71s,0,6,9,270.52s,270.54s,3
72,完成,61.49s,61.59s,61.59s,0,11,9,113.38s,118.05s,119.05s,2,11,4,144.25s,146.05s,2,243.02s,248.63s,252.3s,0,6,2,278.08s,278.09s,3
73,完成,76.59s,76.73s,76.79s,0,12,9,120.09s,121.59s,134.52s,0,5,2,144.25s,144.25s,4,227.28s,235.91s,238.31s,0,5,6,266.82s,268.18s,2
74,完成,81.69s,81.79s,81.79s,0,12,3,128.58s,128.72s,128.72s,0,14,6,158.0s,159.11s,3,240.4s,242.03s,242.83s,0,5,6,275.24s,275.26s,3
75,完成,67.79s,67.79s,67.79s,0,14,7,111.39s,111.39s,112.86s,0,7,6,129.25s,130.05s,4,252.42s,258.97s,265.24s,0,4,2,287.44s,288.84s,2
76,完成,91.79s,92.59s,96.52s,1,8,5,130.69s,135.92s,140.72s,1,6,2,149.0s,156.59s,1,318.04s,320.1s,321.5s,0,7,5,353.06s,356.03s,2
77,完成,75.79s,75.79s,81.26s,0,15,5,111.39s,131.39s,138.05s,0,5,7,177.75s,179.32s,2,247.8s,264.71s,265.11s,0,5,4,287.1s,288.1s,3
78,完成,103.39s,103.46s,104.52s,0,9,11,144.29s,162.92s,168.92s,0,5,10,198.45s,205.85s,2,301.02s,303.1s,304.3s,0,9,8,336.0s,336.0s,2
79,完成,54.19s,54.19s,62.39s,0,9,5,96.09s,96.09s,97.12s,0,12,3,123.0s,123.02s,4,228.2s,234.44s,235.44s,0,6,6,263.22s,263.57s,4
80,完成,78.79s,78.79s,78.79s,0,16,10,118.89s,118.89s,127.05s,0,17,12,170.25s,171.05s,5,308.46s,322.3s,326.5s,1,4,4,343.34s,345.56s,3
81,完成,67.09s,67.09s,67.09s,0,9,5,115.18s,115.92s,116.65s,1,14,4,144.5s,150.38s,1,231.58s,234.63s,242.5s,0,3,2,271.2s,271.23s,4
82,完成,92.99s,94.66s,94.73s,0,18,11,154.69s,158.72s,162.72s,1,5,1,206.75s,207.92s,3,289.44s,319.24s,x,0,1,0,324.4s,324.51s,3
83,完成,64.39s,64.79s,66.26s,0,10,9,99.09s,116.39s,127.32s,0,4,7,141.85s,141.92s,4,218.78s,220.31s,223.57s,0,5,5,258.18s,263.04s,1
84,完成,61.19s,61.72s,64.72s,0,8,5,98.89s,108.32s,114.05s,0,12,4,133.0s,x,0,246.58s,255.3s,277.69s,0,10,1,286.08s,286.09s,3
86,完成,67.49s,67.69s,67.69s,1,9,8,127.59s,139.98s,142.25s,0,3,5,151.75s,152.92s,3,207.5s,209.78s,211.24s,1,8,6,242.54s,244.24s,3
87,完成,74.69s,74.72s,79.66s,16,8,4,123.28s,123.28s,124.18s,0,8,2,150.0s,151.38s,3,303.42s,305.09s,313.62s,2,6,5,342.98s,350.82s,1
88,完成,82.39s,82.52s,85.12s,0,11,11,x,x,x,0,0,0,129.75s,130.72s,1,198.46s,199.58s,199.91s,0,6,4,237.88s,237.91s,3
89,完成,71.39s,78.79s,78.79s,0,7,9,124.48s,124.48s,125.32s,0,8,10,159.5s,160.04s,3,225.26s,231.97s,232.83s,0,4,4,260.2s,260.23s,3
90,完成,83.5s,83.53s,83.53s,0,9,6,125.59s,135.49s,137.86s,0,10,6,173.5s,178.52s,2,264.5s,275.19s,277.99s,1,5,3,303.86s,303.88s,3
91,完成,71.39s,71.39s,71.39s,0,9,9,119.69s,126.86s,136.92s,1,19,3,183.25s,184.18s,2,273.16s,274.04s,274.77s,0,9,10,307.94s,309.37s,3
92,完成,81.39s,81.59s,81.59s,0,16,5,130.68s,131.18s,132.18s,0,6,11,171.0s,x,0,291.56s,294.43s,294.89s,0,8,7,326.44s,326.45s,4
